img_a,img_b,label
img101.jpeg,img026.jpeg,1
img101.jpeg,img039.jpeg,1
img101.jpeg,img055.jpeg,1
img101.jpeg,img093.jpeg,1
img101.jpeg,img097.jpeg,1
img101.jpeg,img036.jpeg,1
img101.jpeg,img070.jpeg,1
img101.jpeg,img071.jpeg,1
img101.jpeg,img072.jpeg,1
img101.jpeg,img073.jpeg,1
img101.jpeg,img074.jpeg,1
img101.jpeg,img075.jpeg,1
img101.jpeg,img076.jpeg,1
img101.jpeg,img077.jpeg,1
img101.jpeg,img078.jpeg,1
img101.jpeg,img079.jpeg,1
img101.jpeg,img080.jpeg,1
img101.jpeg,img041.jpeg,1
img101.jpeg,img038.jpeg,1
img101.jpeg,img049.jpeg,1
img101.jpeg,img031.jpeg,1
img101.jpeg,img044.jpeg,0
img101.jpeg,img045.jpeg,0
img101.jpeg,img046.jpeg,0
img101.jpeg,img047.jpeg,0
img101.jpeg,img048.jpeg,0
img101.jpeg,img050.jpeg,0
img101.jpeg,img037.jpeg,0
img101.jpeg,img059.jpeg,0
img101.jpeg,img060.jpeg,0
img101.jpeg,img061.jpg,0
img101.jpeg,img101.jpeg,0
img101.jpeg,img102.jpeg,0
img101.jpeg,img103.jpeg,0
img101.jpeg,img104.jpeg,0
img101.jpeg,img105.jpeg,0
img101.jpeg,img107.jpeg,0
img101.jpeg,img108.jpeg,0
img101.jpeg,img109.jpeg,0
img101.jpeg,img110.jpeg,0
img101.jpeg,img111.jpeg,0
img101.jpeg,img112.jpg,0
img101.jpeg,img113.jpg,0
img101.jpeg,img043.jpeg,1
img103.jpeg,img026.jpeg,1
img103.jpeg,img039.jpeg,1
img103.jpeg,img055.jpeg,1
img103.jpeg,img093.jpeg,1
img103.jpeg,img097.jpeg,1
img103.jpeg,img036.jpeg,1
img103.jpeg,img070.jpeg,1
img103.jpeg,img071.jpeg,1
img103.jpeg,img072.jpeg,1
img103.jpeg,img073.jpeg,1
img103.jpeg,img074.jpeg,1
img103.jpeg,img075.jpeg,1
img103.jpeg,img076.jpeg,1
img103.jpeg,img077.jpeg,1
img103.jpeg,img078.jpeg,1
img103.jpeg,img079.jpeg,1
img103.jpeg,img080.jpeg,1
img103.jpeg,img041.jpeg,1
img103.jpeg,img038.jpeg,1
img103.jpeg,img049.jpeg,1
img103.jpeg,img031.jpeg,1
img103.jpeg,img044+B67:B88.jpeg,0
img103.jpeg,img045.jpeg,0
img103.jpeg,img046.jpeg,0
img103.jpeg,img047.jpeg,0
img103.jpeg,img048.jpeg,0
img103.jpeg,img050.jpeg,0
img103.jpeg,img037.jpeg,0
img103.jpeg,img059.jpeg,0
img103.jpeg,img060.jpeg,0
img103.jpeg,img061.jpg,0
img103.jpeg,img101.jpeg,0
img103.jpeg,img102.jpeg,0
img103.jpeg,img103.jpeg,0
img103.jpeg,img104.jpeg,0
img103.jpeg,img105.jpeg,0
img103.jpeg,img107.jpeg,0
img103.jpeg,img108.jpeg,0
img103.jpeg,img109.jpeg,0
img103.jpeg,img110.jpeg,0
img103.jpeg,img111.jpeg,0
img103.jpeg,img112.jpg,0
img103.jpeg,img113.jpg,0
img103.jpeg,img043.jpeg,1
img120.jpeg,img026.jpeg,1
img120.jpeg,img039.jpeg,1
img120.jpeg,img055.jpeg,1
img120.jpeg,img093.jpeg,1
img120.jpeg,img097.jpeg,1
img120.jpeg,img036.jpeg,1
img120.jpeg,img070.jpeg,1
img120.jpeg,img071.jpeg,1
img120.jpeg,img072.jpeg,1
img120.jpeg,img073.jpeg,1
img120.jpeg,img074.jpeg,1
img120.jpeg,img075.jpeg,1
img120.jpeg,img076.jpeg,1
img120.jpeg,img077.jpeg,1
img120.jpeg,img078.jpeg,1
img120.jpeg,img079.jpeg,1
img120.jpeg,img080.jpeg,1
img120.jpeg,img041.jpeg,1
img120.jpeg,img038.jpeg,1
img120.jpeg,img049.jpeg,1
img120.jpeg,img031.jpeg,1
